teamname,setups,lowpriority,delays
Oreo,54,2248,545
Oreo,68,295,960
Oreo,37,981,1149
Oreo,28,2339,1519
Oreo,44,303,1343
Oreo,47,1142,825
Oreo,57,115,1235
Oreo,63,2186,364
Oreo,50,1523,705
Oreo,53,3230,510
Oreo,55,2327,518
Oreo,41,802,1181
Oreo,54,485,1036
Oreo,55,588,990
Oreo,61,2260,343
Oreo,58,13,1466
Oreo,62,1224,686
Oreo,46,888,966
Oreo,50,731,1084
Oreo,49,65,1679
Oreo,47,469,1208
Oreo,59,220,1041
Oreo,43,741,1522
Oreo,62,8,1368
Oreo,26,2427,1676
Oreo,54,2633,508
Oreo,72,2850,43
Oreo,62,116,1117
Oreo,68,2056,266
Oreo,59,1383,621
Oreo,42,956,1031
Oreo,55,1457,637
Oreo,70,3255,85
Oreo,42,685,1546
Oreo,43,1583,851
Oreo,64,2260,312
Oreo,61,383,892
Oreo,58,1471,622
Oreo,50,19,1780
Oreo,63,2694,255
Oreo,69,911,791
Oreo,52,1015,729
Oreo,62,3255,214
Oreo,64,1285,599
Oreo,65,1916,327
Oreo,41,880,1173
Oreo,57,61,1287
Oreo,44,1042,910
Oreo,59,1265,671
Oreo,38,948,1256
Oreo,58,2389,415
Oreo,53,28,1616
Oreo,40,918,1106
Oreo,71,2697,141
Oreo,48,453,1155
Oreo,33,1212,1291
Oreo,49,768,955
Oreo,55,238,1147
Oreo,51,19,1763
Oreo,32,1910,1237
Oreo,57,1503,594
Oreo,63,299,998
Oreo,50,1775,576
Oreo,44,762,1210
Oreo,54,196,1298
Oreo,49,834,862
Oreo,64,1230,674
Oreo,44,793,1097
Oreo,59,383,949
Oreo,56,142,1151
Oreo,68,2492,219
Oreo,58,466,995
Oreo,73,803,788
Oreo,56,531,1015
Oreo,42,1107,891
Oreo,56,2216,491
Oreo,62,236,1019
Oreo,43,1003,931
Oreo,36,956,1467
Oreo,63,2556,282
Oreo,45,970,924
Oreo,73,2748,89
Oreo,35,2016,1189
Oreo,55,2216,527
Oreo,58,1519,571
Oreo,55,99,1343
Oreo,67,1884,338
Oreo,63,1732,381
Oreo,41,621,1696
Oreo,49,273,1278
Oreo,27,2273,1625
Oreo,36,1048,1275
Oreo,67,126,1095
Oreo,57,1634,547
Oreo,62,179,1064
Oreo,63,382,926
Oreo,27,2339,1609
Oreo,57,322,1035
Oreo,58,502,974
Oreo,44,1188,866
Oreo,66,2452,252
Oreo,53,479,1111
Oreo,55,174,1203
Oreo,55,2344,470
Oreo,62,2446,315
Oreo,67,10,1115
Oreo,39,948,1113
Oreo,59,12,1452
Oreo,52,2564,541
Oreo,47,1213,793
Oreo,45,1125,865
Oreo,43,759,1476
Oreo,29,2339,1513
Oreo,37,914,1687
Oreo,72,2844,81
Oreo,52,208,1459
Oreo,56,79,1317
Oreo,68,2,1182
Oreo,61,158,1065
Oreo,50,37,1750
Oreo,55,1617,596
Oreo,62,383,887
Oreo,45,851,1096
Oreo,56,528,1020
Oreo,40,992,1031
Oreo,71,174,989
Oreo,63,1330,617
Oreo,43,970,988
Oreo,49,750,1084
Oreo,67,1995,326
Oreo,32,2153,1167
Oreo,62,1454,544
Oreo,49,812,946
Oreo,39,1011,923
Oreo,38,981,1092
Oreo,74,2678,123
Oreo,55,1270,712
Oreo,61,81,1198
Oreo,56,1960,551
Oreo,59,1519,507
Oreo,62,2260,316
Oreo,29,1892,1539
Oreo,54,0,1677
Oreo,68,2378,264
Oreo,64,333,792
Oreo,48,566,1137
Oreo,45,915,982
Oreo,50,1051,802
Oreo,58,1634,444
Oreo,55,0,1616
Oreo,70,0,1182
Oreo,52,591,1004
Oreo,52,1726,639
Oreo,53,2369,556
Oreo,54,2291,539
Oreo,55,139,1246
Oreo,64,299,933
Oreo,55,543,1006
Oreo,59,212,1131
Oreo,46,870,1049
Oreo,54,220,1219
Oreo,62,2155,405
Oreo,32,2097,1235
Oreo,53,174,1358
Oreo,53,1643,661
Oreo,62,13,1230
Oreo,48,779,1066
Oreo,55,115,1262
Oreo,36,2315,1065
Oreo,39,612,1773
Oreo,56,2381,456
Oreo,35,1105,1382
Oreo,45,898,995
Oreo,66,2518,190
Oreo,40,685,1668
Oreo,52,1276,672
Oreo,53,970,810
Oreo,60,383,903
Oreo,69,33,1004
Oreo,33,993,1423
Oreo,59,808,869
Oreo,35,1601,1245
Oreo,48,409,1197
Oreo,26,2434,1537
Oreo,43,566,1592
Oreo,69,2460,237
Oreo,66,2728,165
Oreo,34,1146,1274
Oreo,65,2053,318
Oreo,70,855,759
Oreo,67,2719,139
