teamname,setups,lowpriority,delays
Oreo,55,2405,647
Oreo,70,3255,122
Oreo,69,1044,972
Oreo,63,1217,907
Oreo,60,1793,658
Oreo,67,1078,949
Oreo,70,1921,458
Oreo,67,366,1648
Oreo,51,1032,1278
Oreo,71,2613,180
Oreo,59,491,1810
Oreo,59,1127,1127
Oreo,49,1069,1503
Oreo,59,2411,476
Oreo,67,422,1598
Oreo,43,2617,1090
Oreo,77,494,1154
Oreo,62,1551,753
Oreo,61,643,1220
Oreo,67,1413,730
Oreo,63,1896,510
Oreo,57,1313,973
Oreo,64,1113,1006
Oreo,60,1263,968
Oreo,55,2434,538
Oreo,66,1727,581
Oreo,63,2601,330
Oreo,72,2850,43
Oreo,47,2997,830
Oreo,71,2122,411
Oreo,65,2607,243
Oreo,55,1221,1202
Oreo,56,1290,1113
Oreo,74,2490,310
Oreo,63,1300,842
Oreo,39,2152,1838
Oreo,66,1663,599
Oreo,47,1619,906
Oreo,71,1887,468
Oreo,62,1977,535
Oreo,57,2396,500
Oreo,52,1329,1243
Oreo,53,1291,1052
Oreo,62,2487,451
Oreo,64,1137,1005
Oreo,49,2569,863
Oreo,42,1945,1377
Oreo,57,1215,1112
Oreo,54,2405,678
Oreo,61,1750,613
Oreo,60,1717,664
Oreo,60,1539,828
Oreo,66,2549,243
Oreo,36,2326,1560
Oreo,71,2850,106
Oreo,53,1491,865
Oreo,54,1327,1022
Oreo,61,2195,506
Oreo,59,1472,840
Oreo,61,1371,914
Oreo,66,2314,383
Oreo,58,899,1205
Oreo,42,1843,1562
Oreo,60,2568,414
Oreo,50,1625,828
Oreo,61,1793,612
Oreo,59,1146,1115
Oreo,68,1215,824
Oreo,62,2026,506
Oreo,75,2535,257
Oreo,62,2489,435
Oreo,51,1602,867
Oreo,48,2922,851
Oreo,61,1613,706
Oreo,65,2389,418
Oreo,67,2642,229
Oreo,40,2371,1423
Oreo,58,578,1284
Oreo,49,1483,986
Oreo,48,1476,1020
