teamname,setups,lowpriority,delays
Oreo,59,16,1151
Oreo,47,120,1341
Oreo,72,2785,68
Oreo,37,981,1149
Oreo,25,2058,1233
Oreo,28,960,1453
Oreo,31,2037,1119
Oreo,64,333,775
Oreo,65,2500,179
Oreo,69,1477,484
Oreo,27,987,1601
Oreo,37,745,1314
Oreo,50,648,898
Oreo,48,1730,674
Oreo,45,3047,639
Oreo,31,903,1507
Oreo,45,71,1354
Oreo,48,1182,760
Oreo,31,911,1446
Oreo,72,2850,43
Oreo,68,2056,266
Oreo,50,591,916
Oreo,56,1533,561
Oreo,36,1017,1206
Oreo,43,354,1277
Oreo,44,694,1085
Oreo,64,2260,312
Oreo,53,1554,636
Oreo,42,1330,854
Oreo,53,580,960
Oreo,73,2374,239
Oreo,66,557,772
Oreo,39,886,949
Oreo,40,791,1133
Oreo,37,527,1670
Oreo,64,1285,599
Oreo,63,2526,276
Oreo,49,2402,630
Oreo,37,535,1632
Oreo,64,3255,168
Oreo,40,801,1040
Oreo,52,463,1025
Oreo,50,845,836
Oreo,59,1265,671
Oreo,60,2296,343
Oreo,55,1451,644
Oreo,36,1006,1208
Oreo,26,1081,1543
Oreo,50,1775,576
Oreo,52,0,1370
Oreo,54,193,1077
Oreo,63,2095,331
Oreo,50,43,1440
Oreo,43,59,1542
Oreo,62,2095,335
Oreo,45,979,888
Oreo,41,814,983
Oreo,48,834,846
Oreo,58,2144,372
Oreo,47,145,1290
Oreo,56,2216,491
Oreo,44,155,1302
Oreo,59,1351,555
Oreo,53,25,1338
Oreo,38,711,1587
Oreo,55,2216,527
Oreo,63,1732,381
Oreo,46,1730,676
Oreo,35,649,1684
Oreo,54,17,1338
Oreo,39,1471,856
Oreo,46,1230,704
Oreo,67,2487,197
Oreo,61,1344,590
Oreo,55,8,1276
Oreo,22,1147,1745
Oreo,51,2969,551
Oreo,30,862,1611
Oreo,56,55,1113
Oreo,62,228,860
Oreo,55,2344,470
Oreo,33,886,1402
Oreo,59,50,1018
Oreo,68,2414,244
Oreo,52,2484,571
Oreo,53,504,984
Oreo,58,1476,533
Oreo,52,269,1092
Oreo,47,708,943
Oreo,72,3255,26
Oreo,49,275,1199
Oreo,38,825,1199
Oreo,64,1046,627
Oreo,56,1340,669
Oreo,27,879,1877
Oreo,39,1011,923
Oreo,53,2561,544
Oreo,70,1475,500
Oreo,44,745,1039
Oreo,35,1052,1094
Oreo,35,757,1478
Oreo,62,2260,316
Oreo,61,154,917
Oreo,32,815,1421
Oreo,55,2418,460
Oreo,57,573,886
Oreo,42,761,1028
Oreo,61,1556,465
Oreo,47,1200,764
Oreo,51,2917,571
Oreo,52,1726,639
Oreo,53,2369,556
Oreo,47,771,917
Oreo,54,2291,539
Oreo,49,2491,629
Oreo,55,96,1113
Oreo,38,1505,890
Oreo,57,1534,534
Oreo,63,2387,287
Oreo,43,1311,822
Oreo,59,169,960
Oreo,71,1395,544
Oreo,47,676,1053
Oreo,49,715,870
Oreo,60,211,954
Oreo,58,1613,435
Oreo,52,1276,672
Oreo,51,862,778
Oreo,51,281,1109
Oreo,66,2728,165
Oreo,65,2053,318
Oreo,70,855,759
Oreo,73,2760,84
Oreo,59,1505,504
Oreo,66,2526,166
Oreo,55,2206,559
Oreo,58,1582,450
Oreo,69,2669,151
Oreo,56,0,1258
Oreo,51,585,992
Oreo,34,1888,1090
Oreo,41,852,912
Oreo,61,1291,629
Oreo,50,678,870
Oreo,63,1213,646
Oreo,71,2549,156
Oreo,64,1451,525
Oreo,63,1023,693
Oreo,65,299,789
Oreo,48,1194,743
Oreo,30,1833,1221
Oreo,27,2053,1188
Oreo,53,415,1086
Oreo,63,2326,299
Oreo,44,1542,741
Oreo,39,581,1410
Oreo,56,217,996
Oreo,52,363,1090
Oreo,64,169,882
Oreo,31,2051,1107
Oreo,56,51,1171
Oreo,63,169,893
Oreo,31,947,1322
Oreo,63,1433,539
Oreo,56,133,1034
Oreo,41,791,1033
Oreo,74,3255,0
Oreo,47,862,834
Oreo,51,160,1211
Oreo,55,211,1023
Oreo,67,1402,547
Oreo,58,693,847
Oreo,49,709,894
Oreo,59,159,1013
Oreo,44,1349,742
Oreo,66,2490,236
Oreo,67,1882,336
Oreo,56,8,1246
Oreo,47,45,1445
Oreo,64,2309,290
Oreo,51,641,912
Oreo,44,1311,796
Oreo,63,1487,453
Oreo,56,1566,560
Oreo,33,1094,1134
Oreo,41,1318,891
Oreo,67,186,858
Oreo,44,761,1019
Oreo,24,1734,1525
Oreo,56,2405,440
Oreo,64,2564,193
Oreo,68,1730,358
Oreo,29,937,1488
Oreo,70,2687,139
Oreo,61,3240,277
Oreo,36,723,1516
Oreo,62,1277,629
Oreo,56,1581,536
Oreo,63,299,796
Oreo,51,1767,632
Oreo,63,2171,320
Oreo,58,205,963
Oreo,63,1215,644
Oreo,38,501,1594
Oreo,55,16,1178
Oreo,27,1828,1397
Oreo,53,193,1131
Oreo,22,2626,1628
Oreo,27,1734,1476
Oreo,61,1634,410
Oreo,60,2837,303
Oreo,28,907,1658
Oreo,42,698,1074
Oreo,32,1907,1128
Oreo,48,395,1127
Oreo,45,1332,726
Oreo,41,797,1001
Oreo,63,2053,370
Oreo,62,1213,686
Oreo,40,167,1380
Oreo,56,1414,607
Oreo,36,619,1690
Oreo,47,199,1261
Oreo,37,800,1232
Oreo,37,1046,1091
Oreo,48,392,1139
Oreo,51,120,1255
Oreo,44,0,1538
Oreo,47,2510,656
Oreo,46,708,1062
Oreo,46,427,1138
Oreo,55,0,1285
Oreo,48,129,1310
Oreo,43,734,1059
Oreo,67,1328,591
Oreo,63,2068,360
Oreo,33,611,1692
Oreo,63,1135,679
Oreo,54,2889,483
Oreo,50,1032,774
Oreo,26,1854,1429
Oreo,61,1551,467
Oreo,39,828,1087
Oreo,40,1435,830
Oreo,64,1109,617
Oreo,40,1290,917
Oreo,62,2079,364
Oreo,57,1404,594
Oreo,61,2640,285
Oreo,38,1027,997
Oreo,23,2626,1575
Oreo,51,835,833
Oreo,32,1181,1163
Oreo,20,2964,1645
Oreo,47,398,1144
Oreo,59,1634,412
Oreo,41,756,1062
Oreo,67,1709,381
Oreo,60,1471,528
Oreo,60,2299,331
Oreo,64,1732,345
Oreo,50,666,895
Oreo,54,2248,545
Oreo,31,1181,1217
Oreo,41,1423,806
Oreo,48,1026,809
Oreo,43,1332,810
Oreo,66,200,834
Oreo,32,1978,1093
Oreo,55,2327,518
Oreo,60,1794,408
Oreo,22,1648,1710
Oreo,40,729,1202
Oreo,34,998,1247
Oreo,47,828,859
Oreo,54,373,930
Oreo,61,2260,343
Oreo,45,1041,830
Oreo,59,575,868
Oreo,74,2743,68
Oreo,60,2205,347
Oreo,70,3186,79
Oreo,64,1476,510
Oreo,46,277,1280
Oreo,45,905,911
Oreo,61,1572,433
Oreo,47,427,1068
Oreo,53,62,1240
Oreo,62,127,955
Oreo,49,145,1265
Oreo,54,96,1160
Oreo,59,2640,356
Oreo,52,1015,729
Oreo,24,1147,1602
Oreo,51,2426,574
Oreo,62,3255,214
Oreo,51,1552,661
Oreo,52,2599,525
Oreo,65,1916,327
Oreo,51,1708,660
Oreo,44,1042,910
Oreo,48,674,1044
Oreo,34,2078,1063
Oreo,45,997,887
Oreo,45,1294,730
Oreo,34,686,1641
Oreo,58,159,1017
Oreo,62,93,988
Oreo,27,1684,1488
Oreo,44,1044,890
Oreo,56,2418,408
Oreo,26,1734,1523
Oreo,53,1609,625
Oreo,65,2120,262
Oreo,41,693,1202
Oreo,42,1107,891
Oreo,64,2500,206
Oreo,73,2748,89
Oreo,63,1249,610
Oreo,63,1172,678
Oreo,53,2283,560
Oreo,59,1555,486
Oreo,29,907,1550
Oreo,38,848,1170
Oreo,61,573,856
Oreo,49,905,833
Oreo,34,1160,1120
Oreo,71,2669,116
Oreo,67,2042,312
Oreo,66,2452,252
Oreo,64,2068,329
Oreo,65,1729,382
Oreo,68,2482,205
Oreo,46,53,1400
