teamname,setups,lowpriority,delays
Oreo,57,2386,915
Oreo,57,2323,955
Oreo,64,2458,508
Oreo,64,2062,605
Oreo,74,2826,151
Oreo,75,1542,996
Oreo,53,2100,1736
Oreo,59,2731,556
Oreo,71,1041,1505
Oreo,68,1665,830
Oreo,51,2765,942
Oreo,54,2477,894
Oreo,60,1656,1187
Oreo,59,2808,529
Oreo,57,1574,1448
Oreo,52,2185,1481
Oreo,79,1575,890
Oreo,76,1513,951
Oreo,65,2752,271
Oreo,54,2312,1015
Oreo,72,1105,1360
Oreo,75,2501,343
Oreo,63,1324,1500
Oreo,57,2274,1075
Oreo,76,2826,110
Oreo,77,1610,716
Oreo,53,2561,899
Oreo,57,1711,1188
Oreo,65,1808,722
Oreo,64,1324,1433
Oreo,65,1887,659
Oreo,54,2207,1459
Oreo,68,1124,1538
Oreo,57,2268,1121
Oreo,72,1131,1338
Oreo,72,2850,43
Oreo,74,3255,0
Oreo,63,1741,959
Oreo,68,2812,219
Oreo,56,2640,733
Oreo,50,2258,1808
Oreo,66,2706,318
Oreo,72,2821,161
Oreo,83,1393,1059
Oreo,73,2847,150
Oreo,50,2658,986
Oreo,63,1985,674
Oreo,68,1351,1189
Oreo,50,2364,1375
Oreo,54,2132,1509
Oreo,63,2823,420
Oreo,73,1088,1300
Oreo,54,2096,1741
Oreo,48,2572,1274
Oreo,58,2838,504
Oreo,50,2269,1793
Oreo,75,1231,1198
Oreo,76,1428,1120
Oreo,74,2834,83
Oreo,66,2484,444
Oreo,67,2626,275
Oreo,53,2732,746
Oreo,71,2495,436
Oreo,69,1648,854
Oreo,69,2601,284
Oreo,63,1646,1139
Oreo,73,2587,290
Oreo,63,1948,694
Oreo,75,1148,1282
Oreo,50,2656,1004
Oreo,47,2670,1228
Oreo,69,2626,218
Oreo,68,1108,1621
Oreo,53,2167,1564
Oreo,46,2670,1314
Oreo,61,1619,1277
Oreo,50,2529,1088
Oreo,57,2218,1138
Oreo,66,1703,806
Oreo,49,2461,1348
Oreo,68,2512,415
Oreo,55,2477,824
Oreo,64,2511,476
Oreo,69,2541,300
Oreo,78,1417,1109
Oreo,67,1993,606
Oreo,59,1779,826
Oreo,56,2479,773
Oreo,67,2695,248
Oreo,63,2574,448
Oreo,59,1846,717
Oreo,67,1808,717
Oreo,65,2007,579
Oreo,50,2488,1120
Oreo,67,1510,1105
Oreo,74,2439,400
Oreo,59,1477,1289
Oreo,59,2890,479
Oreo,68,1137,1468
Oreo,62,1656,1170
Oreo,74,1253,1196
Oreo,79,1580,876
Oreo,49,2387,1429
Oreo,70,1933,551
Oreo,53,2247,1194
Oreo,75,1460,1129
Oreo,64,2568,468
Oreo,64,1710,898
Oreo,80,1415,1117
Oreo,57,2298,1030
Oreo,80,1433,908
Oreo,56,1826,1306
Oreo,51,2576,1030
Oreo,68,1193,1317
Oreo,77,1446,1047
Oreo,46,2782,1302
Oreo,61,1624,1262
Oreo,66,2569,372
Oreo,74,2482,382
Oreo,51,2243,1761
Oreo,76,2424,467
Oreo,67,1588,1084
Oreo,50,2245,1830
Oreo,53,2232,1395
Oreo,76,1432,1083
Oreo,60,1711,1183
Oreo,61,1654,1241
Oreo,66,2695,368
Oreo,73,1477,1016
Oreo,68,1993,492
Oreo,69,2709,170
Oreo,61,2823,502
Oreo,64,2881,304
Oreo,72,2781,162
Oreo,51,2306,1207
Oreo,51,2624,948
Oreo,55,2898,607
Oreo,66,2429,512
Oreo,48,2461,1401
Oreo,49,2563,1200
Oreo,67,2995,206
Oreo,52,2232,1449
Oreo,73,1305,1239
Oreo,63,1804,757
Oreo,48,2670,1219
Oreo,62,1420,1176
Oreo,68,1092,1634
Oreo,52,2732,896
Oreo,61,2529,549
Oreo,69,1586,1032
Oreo,60,1581,1278
Oreo,76,1298,1140
Oreo,78,1611,714
Oreo,64,2067,521
Oreo,81,1429,978
Oreo,71,1534,1050
Oreo,65,1871,675
Oreo,77,1162,1258
Oreo,66,1199,1434
Oreo,61,2516,589
Oreo,69,2695,216
Oreo,65,2552,421
Oreo,57,2418,899
Oreo,81,1409,1081
Oreo,47,2395,1421
Oreo,65,1237,1402
Oreo,71,1793,789
Oreo,64,2608,434
Oreo,52,2416,1059
Oreo,56,2311,965
Oreo,60,2616,525
Oreo,54,2563,766
Oreo,70,1054,1505
Oreo,64,1476,1118
Oreo,65,2608,375
Oreo,66,1835,664
Oreo,64,2752,314
Oreo,54,2146,1464
Oreo,74,2426,463
Oreo,74,1184,1230
Oreo,55,1880,1251
Oreo,63,2511,545
Oreo,58,1450,1316
Oreo,48,2571,1378
Oreo,66,1634,1000
Oreo,82,1602,834
Oreo,57,1583,1378
Oreo,68,2513,397
Oreo,68,1856,581
Oreo,61,2002,621
Oreo,80,1606,807
Oreo,64,1747,889
Oreo,49,2658,1095
Oreo,66,1262,1306
Oreo,65,1414,1394
Oreo,64,1878,684
Oreo,74,2530,314
Oreo,69,1092,1611
Oreo,67,1124,1622
Oreo,80,1540,884
Oreo,71,2850,139
Oreo,77,1255,1125
Oreo,56,2334,918
Oreo,66,1223,1342
Oreo,70,1112,1489
Oreo,65,1199,1510
Oreo,62,1677,999
Oreo,65,2519,439
Oreo,59,2002,696
Oreo,63,1779,799
Oreo,74,2678,174
Oreo,68,2477,440
Oreo,68,1240,1264
Oreo,53,2737,735
Oreo,72,1526,1098
Oreo,72,2773,166
Oreo,51,2516,1104
Oreo,55,2230,1151
Oreo,55,2441,1013
Oreo,54,2206,1461
Oreo,74,2501,350
Oreo,52,2593,940
Oreo,63,2881,308
Oreo,68,1588,1011
Oreo,56,2459,786
Oreo,64,1948,615
Oreo,67,2599,321
Oreo,55,2732,668
Oreo,56,2898,505
Oreo,50,2624,1031
Oreo,58,1797,901
Oreo,62,2484,575
Oreo,71,1136,1427
Oreo,55,2466,962
Oreo,49,2533,1231
Oreo,52,2509,1009
Oreo,77,1334,1119
Oreo,59,2898,476
Oreo,46,2637,1353
