teamname,setups,lowpriority,delays
Oreo,41,744,1356
Oreo,72,2785,68
Oreo,54,2248,545
Oreo,57,16,1209
Oreo,37,981,1149
Oreo,45,427,1223
Oreo,50,309,1179
Oreo,63,1409,572
Oreo,50,1523,705
Oreo,43,1332,810
Oreo,53,3230,510
Oreo,32,1978,1093
Oreo,55,2327,518
Oreo,47,1206,803
Oreo,64,333,775
Oreo,46,864,981
Oreo,45,175,1328
Oreo,52,519,1058
Oreo,27,1206,1765
Oreo,30,2048,1205
Oreo,69,1477,484
Oreo,45,19,1597
Oreo,50,648,898
Oreo,47,828,859
Oreo,58,2280,411
Oreo,48,1730,674
Oreo,46,165,1310
Oreo,55,115,1151
Oreo,62,1421,588
Oreo,61,2260,343
Oreo,31,903,1507
Oreo,59,575,868
Oreo,57,928,809
Oreo,64,1476,510
Oreo,36,1089,1167
Oreo,31,911,1446
Oreo,54,2633,508
Oreo,72,2850,43
Oreo,40,843,1077
Oreo,71,2760,103
Oreo,54,447,1009
Oreo,68,2056,266
Oreo,59,1383,621
Oreo,52,174,1276
Oreo,55,1457,637
Oreo,68,0,1133
Oreo,56,1533,561
Oreo,31,1820,1225
Oreo,51,149,1342
Oreo,70,3255,85
Oreo,43,354,1277
Oreo,64,2260,312
Oreo,61,383,892
Oreo,71,1471,510
Oreo,42,970,978
Oreo,64,1323,596
Oreo,63,2694,255
Oreo,52,198,1220
Oreo,52,1015,729
Oreo,28,1917,1242
Oreo,66,0,1153
Oreo,62,3255,214
Oreo,64,1285,599
Oreo,49,2402,630
Oreo,65,1916,327
Oreo,34,1977,1170
Oreo,51,1708,660
Oreo,44,1042,910
Oreo,61,285,952
Oreo,59,1265,671
Oreo,60,2296,343
Oreo,64,1143,679
Oreo,70,29,957
Oreo,33,1212,1291
Oreo,61,0,1246
Oreo,51,309,1145
Oreo,34,826,1520
Oreo,52,1611,661
Oreo,57,1503,594
Oreo,61,1498,507
Oreo,56,111,1113
Oreo,50,1775,576
Oreo,54,193,1077
Oreo,63,2095,331
Oreo,52,1004,754
Oreo,64,1230,674
Oreo,59,383,949
Oreo,56,2418,408
Oreo,65,1108,653
Oreo,63,3212,224
Oreo,41,814,983
Oreo,65,2120,262
Oreo,48,834,846
Oreo,36,925,1382
Oreo,46,1112,804
Oreo,43,662,1255
Oreo,42,1107,891
Oreo,39,989,1062
Oreo,56,2216,491
Oreo,43,1003,931
