teamname,setups,lowpriority,delays
Oreo,59,681,958
Oreo,35,1974,1284
Oreo,56,580,1032
Oreo,51,2564,648
Oreo,56,1036,800
Oreo,50,2570,644
Oreo,46,638,1623
Oreo,39,1091,1567
Oreo,64,1222,731
Oreo,63,2186,364
Oreo,57,1774,559
Oreo,59,253,1183
Oreo,33,2074,1284
Oreo,40,1011,973
Oreo,54,485,1036
Oreo,35,1955,1327
Oreo,56,215,1271
Oreo,61,2260,343
Oreo,54,2317,578
Oreo,36,1173,1346
Oreo,59,260,1126
Oreo,60,2707,394
Oreo,45,1073,883
Oreo,64,1464,573
Oreo,52,297,1396
Oreo,47,469,1208
Oreo,79,0,1238
Oreo,48,1033,870
Oreo,62,8,1368
Oreo,60,1939,484
Oreo,58,711,972
Oreo,54,32,1722
Oreo,50,308,1541
Oreo,72,2850,43
Oreo,48,983,937
Oreo,70,101,1139
Oreo,68,2056,266
Oreo,54,93,1662
Oreo,51,1580,708
Oreo,51,2071,670
Oreo,70,3255,85
Oreo,52,445,1162
Oreo,37,1158,1364
Oreo,43,1583,851
Oreo,64,2260,312
Oreo,37,1824,1210
Oreo,66,1202,720
Oreo,32,2010,1411
Oreo,48,963,990
Oreo,56,1591,658
Oreo,42,1241,877
Oreo,63,2694,255
Oreo,55,308,1162
Oreo,80,47,1198
Oreo,59,66,1349
Oreo,43,684,1598
Oreo,35,1134,1456
Oreo,48,1186,825
Oreo,52,2463,589
Oreo,37,1906,1170
Oreo,57,174,1384
Oreo,42,733,1602
Oreo,58,2389,415
Oreo,71,2697,141
Oreo,58,272,1094
Oreo,34,2013,1310
Oreo,41,1185,967
Oreo,66,114,1232
Oreo,57,1495,670
Oreo,52,1697,661
Oreo,38,1952,1168
Oreo,53,83,1700
Oreo,64,21,1258
Oreo,35,2126,1217
Oreo,66,1203,656
Oreo,47,1034,963
Oreo,68,2492,219
Oreo,46,1145,876
Oreo,50,111,1803
Oreo,61,1246,732
Oreo,51,2569,579
Oreo,55,93,1645
Oreo,42,790,1594
Oreo,46,798,1255
Oreo,64,1404,609
Oreo,54,1556,687
Oreo,56,2216,491
Oreo,69,0,1495
Oreo,68,1664,493
Oreo,62,236,1019
Oreo,63,2556,282
Oreo,67,114,1220
Oreo,55,2216,527
Oreo,73,101,1085
Oreo,72,880,860
Oreo,63,1732,381
Oreo,46,530,1630
Oreo,64,2564,210
Oreo,50,1119,812
Oreo,36,1223,1313
Oreo,46,769,1371
Oreo,56,1729,597
Oreo,46,777,1357
Oreo,44,1188,866
Oreo,66,2452,252
Oreo,38,1142,1308
Oreo,53,479,1111
Oreo,62,2446,315
Oreo,65,1884,374
Oreo,48,1571,720
Oreo,52,2564,541
Oreo,69,951,861
Oreo,72,2844,81
Oreo,53,348,1315
Oreo,57,260,1177
Oreo,46,1590,731
Oreo,45,566,1630
Oreo,48,988,913
Oreo,40,992,1031
Oreo,53,849,929
Oreo,73,2805,89
Oreo,63,1330,617
Oreo,65,320,1014
Oreo,43,970,988
Oreo,67,1995,326
Oreo,55,1410,672
Oreo,43,1090,960
Oreo,47,1260,816
Oreo,74,2678,123
Oreo,53,2320,578
Oreo,60,1338,643
Oreo,43,1260,869
Oreo,56,1960,551
Oreo,62,2260,316
Oreo,36,1974,1271
Oreo,32,2186,1234
Oreo,64,121,1239
Oreo,52,1726,639
Oreo,53,2369,556
Oreo,53,1450,726
Oreo,52,2343,621
Oreo,57,681,986
Oreo,50,2603,634
Oreo,57,424,1044
Oreo,59,208,1189
Oreo,44,1582,847
