teamname,setups,lowpriority,delays
Oreo,55,2396,538
Oreo,63,1399,755
Oreo,69,1384,713
Oreo,65,152,1821
Oreo,67,1199,816
Oreo,63,2027,459
Oreo,62,2026,490
Oreo,67,1888,407
Oreo,60,1748,564
Oreo,58,1962,637
Oreo,48,1475,893
Oreo,59,280,1573
Oreo,52,1111,1117
Oreo,53,814,1260
Oreo,55,313,1781
Oreo,59,2411,476
Oreo,48,1562,849
Oreo,52,1287,985
Oreo,52,1428,846
Oreo,60,2707,394
Oreo,56,1217,956
Oreo,67,1784,479
Oreo,62,1298,793
Oreo,64,850,1067
Oreo,63,1896,510
Oreo,50,1196,1133
Oreo,72,2813,127
Oreo,50,1443,864
Oreo,71,386,1083
Oreo,74,1121,820
Oreo,63,2601,330
Oreo,72,2850,43
Oreo,47,2997,830
Oreo,51,2577,644
Oreo,58,1317,897
Oreo,50,843,1312
Oreo,48,1114,1372
Oreo,61,1454,668
Oreo,57,915,1084
Oreo,53,1287,954
Oreo,65,271,1565
Oreo,57,2396,500
Oreo,51,1294,956
Oreo,50,686,1541
Oreo,53,1321,931
Oreo,52,1480,727
Oreo,52,1170,1019
Oreo,68,340,1322
Oreo,66,2307,341
Oreo,67,2481,285
Oreo,58,525,1093
Oreo,64,1324,772
Oreo,50,2675,716
Oreo,55,521,1578
Oreo,61,2195,506
Oreo,70,675,1051
Oreo,52,1467,729
Oreo,55,2044,580
Oreo,42,1502,1167
Oreo,57,1336,886
Oreo,62,2017,513
Oreo,68,311,1328
Oreo,50,1213,1075
Oreo,63,2424,350
Oreo,68,285,1337
Oreo,62,1089,865
Oreo,54,553,1647
Oreo,49,662,1576
Oreo,68,2492,219
Oreo,76,335,1140
Oreo,36,2137,1465
Oreo,41,1793,1114
Oreo,50,662,1555
Oreo,48,1096,1426
Oreo,65,2607,241
Oreo,47,2753,837
Oreo,77,362,1096
Oreo,42,2753,978
Oreo,64,1944,458
Oreo,68,1235,793
Oreo,70,1028,905
Oreo,70,394,1150
Oreo,66,155,1751
Oreo,53,573,1673
Oreo,51,1020,1169
Oreo,64,1615,628
Oreo,63,1250,842
Oreo,48,1409,946
Oreo,64,2435,322
Oreo,59,2275,494
Oreo,53,1406,883
Oreo,57,1856,648
Oreo,66,1526,609
Oreo,65,1934,487
Oreo,53,2345,645
Oreo,57,1881,645
Oreo,58,1080,1017
Oreo,53,626,1519
Oreo,52,1443,838
Oreo,59,1003,996
Oreo,72,2844,81
Oreo,73,2800,100
Oreo,45,1270,1230
Oreo,38,2176,1370
Oreo,64,2607,269
Oreo,46,1562,861
Oreo,49,1189,1190
Oreo,52,1406,902
Oreo,63,1070,911
Oreo,38,2137,1425
Oreo,59,1658,622
Oreo,62,2389,427
Oreo,58,1174,951
Oreo,50,1152,1156
Oreo,53,2349,616
Oreo,55,1188,961
Oreo,63,1740,575
Oreo,54,2329,578
Oreo,57,2404,495
Oreo,64,894,992
Oreo,53,542,1760
Oreo,44,2753,859
Oreo,74,2678,123
Oreo,55,913,1153
Oreo,81,323,1119
Oreo,55,1366,817
Oreo,56,1177,971
Oreo,54,2381,563
Oreo,47,1262,986
Oreo,63,1261,827
Oreo,56,1836,716
Oreo,65,1386,720
Oreo,70,199,1428
Oreo,54,1895,680
Oreo,62,2320,453
Oreo,64,978,965
Oreo,66,1257,808
Oreo,61,2331,483
Oreo,51,781,1302
Oreo,49,1225,1105
Oreo,53,834,1255
Oreo,63,453,1270
Oreo,69,128,1745
Oreo,60,2204,533
Oreo,49,1353,933
Oreo,65,2371,385
